	Moffitt_tumor_predicted	Collison_predicted	Bailey_predicted	MFP	Cohort
PANC13	Classical	QM	Squamous	ID	PUB_Puleo_Belgium
PANC23	Classical	Exocrine	ADEX	IEF	PUB_Puleo_Belgium
PANC53	Classical	Exocrine	Immunogenic	IEF	PUB_Puleo_Belgium
PANC48	Basal-like	Exocrine	Squamous	ID	PUB_Puleo_Belgium
PANC11	Classical	Classical	Immunogenic	IEF	PUB_Puleo_Belgium
PANC18	Classical	Exocrine	ADEX	ID	PUB_Puleo_Belgium
PANC7	Basal-like	QM	Squamous	IE	PUB_Puleo_Belgium
PANC42	Classical	Exocrine	Squamous	IE	PUB_Puleo_Belgium
PANC14	Basal-like	QM	Squamous	F	PUB_Puleo_Belgium
PANC80	Classical	Classical	Squamous	IE	PUB_Puleo_Belgium
PANC46	Classical	Classical	Immunogenic	IE	PUB_Puleo_Belgium
PANC75	Basal-like	Exocrine	Squamous	F	PUB_Puleo_Belgium
PANC81	Basal-like	QM	Squamous	F	PUB_Puleo_Belgium
PANC43	Classical	Classical	Immunogenic	F	PUB_Puleo_Belgium
PANC68	Classical	QM	Squamous	ID	PUB_Puleo_Belgium
PANC60	Classical	Exocrine	Pancreatic_Progenitor	IE	PUB_Puleo_Belgium
PANC36	Classical	QM	Squamous	F	PUB_Puleo_Belgium
PANC79	Classical	Classical	Squamous	F	PUB_Puleo_Belgium
PANC92	Classical	QM	Squamous	F	PUB_Puleo_Belgium
PANC88	Classical	Classical	Immunogenic	ID	PUB_Puleo_Belgium
PANC94	Classical	Exocrine	Squamous	ID	PUB_Puleo_Belgium
PANC24	Classical	Exocrine	Squamous	ID	PUB_Puleo_Belgium
PANC83	Basal-like	QM	Squamous	F	PUB_Puleo_Belgium
PANC95	Basal-like	QM	Squamous	IE	PUB_Puleo_Belgium
PANC82	Basal-like	Exocrine	Immunogenic	IEF	PUB_Puleo_Belgium
PANC2	Classical	Exocrine	Squamous	IE	PUB_Puleo_Belgium
PANC57	Classical	Exocrine	Squamous	ID	PUB_Puleo_Belgium
PANC98	Classical	Exocrine	Squamous	F	PUB_Puleo_Belgium
PANC100	Classical	QM	Squamous	F	PUB_Puleo_Belgium
PANC3	Classical	QM	Squamous	IE	PUB_Puleo_Belgium
PANC87	Classical	Exocrine	ADEX	F	PUB_Puleo_Belgium
PANC30	Classical	Exocrine	Squamous	F	PUB_Puleo_Belgium
PANC17	Classical	Exocrine	Immunogenic	IE	PUB_Puleo_Belgium
PANC93	Classical	QM	Immunogenic	IEF	PUB_Puleo_Belgium
PANC101	Classical	Exocrine	Squamous	F	PUB_Puleo_Belgium
PANC29	Classical	Classical	Immunogenic	F	PUB_Puleo_Belgium
PANC31	Classical	Exocrine	Squamous	IEF	PUB_Puleo_Belgium
PANC6	Classical	Exocrine	Squamous	ID	PUB_Puleo_Belgium
PANC10	Classical	Exocrine	ADEX	IEF	PUB_Puleo_Belgium
PANC65	Basal-like	QM	Immunogenic	IE	PUB_Puleo_Belgium
PANC55	Classical	Exocrine	ADEX	F	PUB_Puleo_Belgium
PANC47	Classical	Exocrine	ADEX	IEF	PUB_Puleo_Belgium
PANC189	Basal-like	Exocrine	ADEX	IEF	PUB_Puleo_France
PANC168	Classical	Exocrine	ADEX	IE	PUB_Puleo_France
PANC324	Classical	Exocrine	ADEX	IEF	PUB_Puleo_France
PANC184	Classical	Exocrine	Squamous	IEF	PUB_Puleo_France
PANC251	Classical	Exocrine	ADEX	IEF	PUB_Puleo_France
PANC144	Classical	QM	Immunogenic	F	PUB_Puleo_France
PANC123	Classical	QM	Immunogenic	IEF	PUB_Puleo_France
PANC147	Classical	QM	Immunogenic	IEF	PUB_Puleo_France
PANC176	Classical	Exocrine	ADEX	IEF	PUB_Puleo_France
PANC266	Classical	Exocrine	ADEX	IE	PUB_Puleo_France
PANC304	Classical	Exocrine	Squamous	F	PUB_Puleo_France
PANC218	Basal-like	Exocrine	Immunogenic	IEF	PUB_Puleo_France
PANC217	Classical	QM	Immunogenic	IEF	PUB_Puleo_France
PANC132	Basal-like	QM	Squamous	IE	PUB_Puleo_France
PANC136	Basal-like	QM	Squamous	ID	PUB_Puleo_France
PANC316	Classical	Exocrine	ADEX	IEF	PUB_Puleo_France
PANC134	Classical	Classical	Immunogenic	IEF	PUB_Puleo_France
PANC234	Classical	Classical	Immunogenic	IEF	PUB_Puleo_France
PANC226	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Puleo_France
PANC222	Classical	QM	Squamous	F	PUB_Puleo_France
PANC207	Basal-like	QM	Immunogenic	IEF	PUB_Puleo_France
PANC241	Classical	QM	Immunogenic	IEF	PUB_Puleo_France
PANC321	Classical	QM	Squamous	IEF	PUB_Puleo_France
PANC334	Classical	Exocrine	ADEX	IEF	PUB_Puleo_France
PANC191	Classical	Classical	Squamous	F	PUB_Puleo_France
PANC160	Classical	Classical	Pancreatic_Progenitor	F	PUB_Puleo_France
PANC320	Classical	Exocrine	ADEX	IEF	PUB_Puleo_France
PANC135	Basal-like	QM	Immunogenic	IE	PUB_Puleo_France
PANC213	Classical	Classical	Immunogenic	F	PUB_Puleo_France
PANC210	Classical	Classical	Immunogenic	IEF	PUB_Puleo_France
PANC265	Classical	Classical	Immunogenic	IE	PUB_Puleo_France
PANC166	Classical	QM	Immunogenic	IEF	PUB_Puleo_France
PANC276	Classical	Exocrine	ADEX	IEF	PUB_Puleo_France
PANC118	Classical	Classical	Immunogenic	IEF	PUB_Puleo_France
PANC202	Basal-like	QM	Squamous	ID	PUB_Puleo_France
PANC148	Basal-like	QM	Squamous	F	PUB_Puleo_France
PANC240	Classical	Exocrine	Squamous	IE	PUB_Puleo_France
PANC194	Classical	Classical	ADEX	IEF	PUB_Puleo_France
PANC161	Basal-like	QM	Squamous	IEF	PUB_Puleo_France
PANC157	Classical	Classical	Immunogenic	IE	PUB_Puleo_France
PANC280	Basal-like	Classical	Immunogenic	IEF	PUB_Puleo_France
PANC164	Basal-like	Exocrine	ADEX	F	PUB_Puleo_France
PANC141	Classical	QM	Squamous	IE	PUB_Puleo_France
PANC107	Basal-like	QM	Squamous	IEF	PUB_Puleo_France
PANC249	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Puleo_France
PANC317	Classical	Exocrine	Immunogenic	IEF	PUB_Puleo_France
PANC162	Classical	Classical	Immunogenic	F	PUB_Puleo_France
PANC171	Classical	Classical	Immunogenic	IE	PUB_Puleo_France
PANC307	Classical	Classical	Pancreatic_Progenitor	IEF	PUB_Puleo_France
PANC292	Classical	Classical	Immunogenic	IEF	PUB_Puleo_France
PANC250	Classical	QM	Squamous	F	PUB_Puleo_France
PANC327	Classical	Classical	Squamous	ID	PUB_Puleo_France
PANC216	Classical	Classical	Squamous	IEF	PUB_Puleo_France
PANC253	Classical	Classical	Immunogenic	IE	PUB_Puleo_France
PANC212	Classical	Classical	Squamous	F	PUB_Puleo_France
PANC175	Classical	QM	Immunogenic	F	PUB_Puleo_France
PANC323	Classical	Classical	Immunogenic	F	PUB_Puleo_France
PANC267	Classical	Classical	Pancreatic_Progenitor	IEF	PUB_Puleo_France
PANC273	Classical	Classical	Immunogenic	F	PUB_Puleo_France
PANC285	Classical	QM	Immunogenic	IEF	PUB_Puleo_France
PANC211	Classical	Exocrine	ADEX	IEF	PUB_Puleo_France
PANC165	Basal-like	Exocrine	Squamous	F	PUB_Puleo_France
PANC190	Basal-like	QM	Squamous	F	PUB_Puleo_France
PANC102	Classical	Classical	Squamous	IEF	PUB_Puleo_France
PANC181	Classical	QM	Squamous	IEF	PUB_Puleo_France
PANC209	Basal-like	QM	Squamous	ID	PUB_Puleo_France
PANC170	Classical	QM	Squamous	F	PUB_Puleo_France
PANC254	Classical	Classical	Squamous	IEF	PUB_Puleo_France
PANC288	Classical	Classical	Squamous	IEF	PUB_Puleo_France
PANC125	Classical	QM	Immunogenic	IEF	PUB_Puleo_France
PANC309	Basal-like	QM	Immunogenic	IEF	PUB_Puleo_France
PANC208	Classical	Classical	Squamous	IEF	PUB_Puleo_France
PANC286	Basal-like	Classical	Squamous	IEF	PUB_Puleo_France
PANC270	Classical	Classical	Immunogenic	IE	PUB_Puleo_France
PANC145	Classical	Classical	Immunogenic	F	PUB_Puleo_France
PANC159	Basal-like	QM	Squamous	IEF	PUB_Puleo_France
PANC199	Classical	Exocrine	Squamous	F	PUB_Puleo_France
PANC228	Basal-like	QM	Squamous	IEF	PUB_Puleo_France
PANC302	Classical	QM	Immunogenic	IEF	PUB_Puleo_France
PANC198	Basal-like	QM	Immunogenic	IEF	PUB_Puleo_France
PANC264	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Puleo_France
PANC127	Classical	Exocrine	ADEX	IEF	PUB_Puleo_France
PANC287	Classical	Classical	Pancreatic_Progenitor	IEF	PUB_Puleo_France
PANC206	Classical	Classical	Squamous	IEF	PUB_Puleo_France
PANC261	Classical	Exocrine	Squamous	IE	PUB_Puleo_France
PANC319	Basal-like	QM	Squamous	F	PUB_Puleo_France
PANC142	Basal-like	QM	Squamous	F	PUB_Puleo_France
PANC129	Classical	QM	Squamous	IEF	PUB_Puleo_France
PANC259	Basal-like	QM	Squamous	F	PUB_Puleo_France
PANC258	Classical	QM	Squamous	F	PUB_Puleo_France
PANC179	Basal-like	QM	Squamous	IE	PUB_Puleo_France
PANC137	Classical	Exocrine	ADEX	F	PUB_Puleo_France
PANC246	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Puleo_France
PANC185	Basal-like	QM	Squamous	ID	PUB_Puleo_France
PANC298	Basal-like	QM	Squamous	F	PUB_Puleo_France
PANC233	Classical	Classical	Immunogenic	IE	PUB_Puleo_France
PANC113	Classical	Classical	Squamous	IEF	PUB_Puleo_France
PANC227	Basal-like	QM	Squamous	F	PUB_Puleo_France
PANC192	Classical	Classical	Immunogenic	IE	PUB_Puleo_France
PANC114	Classical	Exocrine	Squamous	IE	PUB_Puleo_France
PANC318	Classical	Classical	Immunogenic	IE	PUB_Puleo_France
PANC272	Classical	Exocrine	ADEX	IEF	PUB_Puleo_France
PANC260	Classical	Classical	ADEX	IEF	PUB_Puleo_France
PANC133	Basal-like	QM	Squamous	ID	PUB_Puleo_France
PANC269	Classical	Classical	Squamous	F	PUB_Puleo_France
PANC248	Classical	Classical	Squamous	IE	PUB_Puleo_France
PANC167	Classical	Classical	Immunogenic	IEF	PUB_Puleo_France
PANC201	Classical	QM	Immunogenic	F	PUB_Puleo_France
PANC300	Basal-like	QM	Squamous	ID	PUB_Puleo_France
PANC225	Classical	QM	Immunogenic	IEF	PUB_Puleo_France
PANC220	Basal-like	QM	Squamous	F	PUB_Puleo_France
PANC231	Classical	Exocrine	Squamous	F	PUB_Puleo_France
PANC200	Classical	QM	Squamous	ID	PUB_Puleo_France
PANC187	Classical	QM	Immunogenic	F	PUB_Puleo_France
PANC230	Classical	Exocrine	Immunogenic	IEF	PUB_Puleo_France
PANC279	Classical	Exocrine	Squamous	IE	PUB_Puleo_France
PANC197	Classical	Classical	Pancreatic_Progenitor	IEF	PUB_Puleo_France
PANC294	Classical	Classical	Immunogenic	ID	PUB_Puleo_France
PANC109	Classical	Classical	Immunogenic	IEF	PUB_Puleo_France
PANC119	Classical	Exocrine	Squamous	F	PUB_Puleo_France
PANC275	Classical	QM	Squamous	F	PUB_Puleo_France
PANC301	Classical	Classical	ADEX	IEF	PUB_Puleo_France
PANC173	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Puleo_France
PANC223	Classical	Classical	Squamous	IEF	PUB_Puleo_France
PANC104	Basal-like	QM	Squamous	IE	PUB_Puleo_France
PANC122	Classical	Classical	Immunogenic	IEF	PUB_Puleo_France
PANC242	Classical	QM	Immunogenic	IEF	PUB_Puleo_France
PANC174	Classical	Classical	Squamous	F	PUB_Puleo_France
PANC263	Basal-like	QM	Squamous	IE	PUB_Puleo_France
PANC149	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Puleo_France
PANC291	Classical	Classical	Squamous	IE	PUB_Puleo_France
PANC255	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Puleo_France
PANC232	Basal-like	QM	Squamous	F	PUB_Puleo_France
PANC163	Basal-like	QM	Squamous	F	PUB_Puleo_France
PANC257	Classical	QM	Squamous	ID	PUB_Puleo_France
PANC153	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Puleo_France
PANC188	Classical	QM	Squamous	F	PUB_Puleo_France
PANC282	Basal-like	QM	Squamous	IE	PUB_Puleo_France
PANC239	Basal-like	QM	Squamous	ID	PUB_Puleo_France
PANC229	Basal-like	Classical	Immunogenic	IE	PUB_Puleo_France
PANC117	Basal-like	QM	Squamous	ID	PUB_Puleo_France
PANC121	Basal-like	QM	Squamous	ID	PUB_Puleo_France
PANC131	Classical	Classical	Immunogenic	F	PUB_Puleo_France
PANC140	Classical	QM	Immunogenic	IEF	PUB_Puleo_France
PANC281	Basal-like	QM	Squamous	IE	PUB_Puleo_France
PANC204	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Puleo_France
PANC112	Classical	Exocrine	Squamous	IEF	PUB_Puleo_France
PANC295	Basal-like	QM	Squamous	F	PUB_Puleo_France
PANC293	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Puleo_France
PANC310	Basal-like	QM	Squamous	F	PUB_Puleo_France
PANC331	Classical	Classical	Squamous	ID	PUB_Puleo_France
PANC178	Classical	Classical	Immunogenic	F	PUB_Puleo_France
PANC110	Classical	Exocrine	Pancreatic_Progenitor	IEF	PUB_Puleo_France
PANC205	Classical	Classical	Squamous	ID	PUB_Puleo_France
PANC177	Classical	Classical	Squamous	ID	PUB_Puleo_France
PANC172	Classical	Exocrine	ADEX	IE	PUB_Puleo_France
PANC180	Classical	QM	Squamous	ID	PUB_Puleo_France
PANC284	Classical	Classical	Squamous	F	PUB_Puleo_France
PANC247	Classical	QM	Squamous	ID	PUB_Puleo_France
PANC332	Basal-like	QM	Squamous	F	PUB_Puleo_France
PANC268	Classical	Classical	Squamous	IE	PUB_Puleo_France
PANC277	Basal-like	Classical	Squamous	ID	PUB_Puleo_France
PANC329	Classical	Classical	Immunogenic	IE	PUB_Puleo_France
PANC244	Basal-like	QM	Squamous	IE	PUB_Puleo_France
PANC236	Classical	QM	Squamous	IE	PUB_Puleo_France
PANC126	Classical	QM	Squamous	F	PUB_Puleo_France
PANC283	Classical	Classical	Squamous	ID	PUB_Puleo_France
PANC252	Basal-like	QM	Squamous	ID	PUB_Puleo_France
PANC214	Basal-like	QM	Squamous	F	PUB_Puleo_France
PANC146	Classical	Classical	Immunogenic	IEF	PUB_Puleo_France
PANC150	Classical	Classical	Immunogenic	IE	PUB_Puleo_France
PANC219	Classical	Classical	ADEX	IE	PUB_Puleo_France
PANC262	Classical	QM	Immunogenic	IE	PUB_Puleo_France
PANC305	Basal-like	QM	Squamous	ID	PUB_Puleo_France
PANC289	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Puleo_France
PANC326	Classical	Classical	Immunogenic	IE	PUB_Puleo_France
PANC322	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Puleo_France
PANC335	Classical	QM	Squamous	F	PUB_Puleo_France
PANC186	Basal-like	QM	Squamous	IE	PUB_Puleo_France
PANC314	Classical	QM	Squamous	IEF	PUB_Puleo_France
PANC308	Basal-like	QM	Squamous	ID	PUB_Puleo_France
PANC183	Classical	Classical	Pancreatic_Progenitor	F	PUB_Puleo_France
PANC274	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Puleo_France
PANC330	Classical	Classical	Squamous	ID	PUB_Puleo_France
PANC196	Classical	Classical	Squamous	ID	PUB_Puleo_France
PANC315	Classical	QM	Squamous	ID	PUB_Puleo_France
PANC120	Classical	Classical	Immunogenic	IE	PUB_Puleo_France
PANC203	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Puleo_France
PANC271	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Puleo_France
PANC182	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Puleo_France
PANC152	Basal-like	Exocrine	Squamous	ID	PUB_Puleo_France
PANC313	Basal-like	QM	Squamous	ID	PUB_Puleo_France
PANC238	Basal-like	QM	Squamous	F	PUB_Puleo_France
PANC155	Classical	Classical	Immunogenic	IE	PUB_Puleo_France
PANC325	Basal-like	QM	Squamous	ID	PUB_Puleo_France
PANC296	Basal-like	QM	Squamous	ID	PUB_Puleo_France
PANC124	Classical	QM	Squamous	F	PUB_Puleo_France
PANC138	Classical	Classical	Squamous	ID	PUB_Puleo_France
PANC169	Classical	Classical	Squamous	IE	PUB_Puleo_France
PANC151	Classical	Exocrine	Immunogenic	IEF	PUB_Puleo_France
PANC195	Basal-like	QM	Squamous	ID	PUB_Puleo_France
PANC245	Basal-like	QM	Squamous	IE	PUB_Puleo_France
PANC139	Basal-like	QM	Squamous	ID	PUB_Puleo_France
PANC328	Basal-like	QM	Squamous	ID	PUB_Puleo_France
PANC143	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Puleo_France
PANC156	Basal-like	QM	Squamous	F	PUB_Puleo_France
PANC290	Basal-like	QM	Squamous	ID	PUB_Puleo_France
PANC111	Basal-like	QM	Squamous	IE	PUB_Puleo_France
PANC215	Classical	Classical	ADEX	IE	PUB_Puleo_France
PANC105	Classical	Exocrine	Squamous	IE	PUB_Puleo_France
PANC128	Classical	QM	Immunogenic	IEF	PUB_Puleo_France
PANC297	Basal-like	Exocrine	ADEX	IE	PUB_Puleo_France
PANC116	Classical	Exocrine	ADEX	IEF	PUB_Puleo_France
PANC303	Classical	Classical	Squamous	IE	PUB_Puleo_France
PANC256	Classical	Classical	Immunogenic	IEF	PUB_Puleo_France
PANC103	Classical	QM	Immunogenic	IEF	PUB_Puleo_France
PANC154	Classical	Exocrine	ADEX	IE	PUB_Puleo_France
PANC115	Classical	Classical	Immunogenic	IE	PUB_Puleo_France
PANC312	Classical	Exocrine	Immunogenic	IEF	PUB_Puleo_France
PANC193	Basal-like	Exocrine	Immunogenic	IEF	PUB_Puleo_France
PANC106	Classical	Classical	Immunogenic	F	PUB_Puleo_France
PANC333	Classical	Exocrine	Immunogenic	IE	PUB_Puleo_France
PANC108	Classical	Classical	Immunogenic	ID	PUB_Puleo_France
PANC311	Classical	QM	Squamous	IE	PUB_Puleo_France
PANC224	Classical	QM	Squamous	F	PUB_Puleo_France
PANC221	Classical	Exocrine	ADEX	IEF	PUB_Puleo_France
PANC130	Classical	Exocrine	Immunogenic	IEF	PUB_Puleo_France
PANC158	Classical	QM	Squamous	F	PUB_Puleo_France
PANC306	Classical	Classical	ADEX	IEF	PUB_Puleo_France
GSM1527105	Classical	Classical	ADEX	IEF	PUB_Yang_GSE62452
GSM1527107	Basal-like	Exocrine	Squamous	ID	PUB_Yang_GSE62452
GSM1527109	Basal-like	Classical	Squamous	ID	PUB_Yang_GSE62452
GSM1527111	Basal-like	QM	Squamous	IEF	PUB_Yang_GSE62452
GSM1527113	Classical	Classical	Squamous	F	PUB_Yang_GSE62452
GSM1527115	Classical	Classical	Immunogenic	ID	PUB_Yang_GSE62452
GSM1527117	Basal-like	QM	Squamous	F	PUB_Yang_GSE62452
GSM1527119	Classical	Classical	Immunogenic	ID	PUB_Yang_GSE62452
GSM1527121	Classical	Classical	Immunogenic	IE	PUB_Yang_GSE62452
GSM1527123	Classical	Classical	Immunogenic	IE	PUB_Yang_GSE62452
GSM1527125	Basal-like	QM	Immunogenic	IE	PUB_Yang_GSE62452
GSM1527127	Classical	Exocrine	ADEX	IEF	PUB_Yang_GSE62452
GSM1527129	Basal-like	Exocrine	Squamous	F	PUB_Yang_GSE62452
GSM1527131	Basal-like	QM	Squamous	ID	PUB_Yang_GSE62452
GSM1527133	Basal-like	Exocrine	ADEX	IE	PUB_Yang_GSE62452
GSM1527135	Classical	Classical	Immunogenic	IE	PUB_Yang_GSE62452
GSM1527137	Classical	Exocrine	ADEX	IEF	PUB_Yang_GSE62452
GSM1527139	Classical	Exocrine	ADEX	IEF	PUB_Yang_GSE62452
GSM1527141	Basal-like	Exocrine	ADEX	F	PUB_Yang_GSE62452
GSM1527143	Basal-like	QM	Squamous	IE	PUB_Yang_GSE62452
GSM1527145	Classical	QM	Immunogenic	IE	PUB_Yang_GSE62452
GSM1527147	Basal-like	Exocrine	ADEX	IEF	PUB_Yang_GSE62452
GSM1527149	Classical	Exocrine	ADEX	IEF	PUB_Yang_GSE62452
GSM1527151	Classical	Exocrine	ADEX	IEF	PUB_Yang_GSE62452
GSM1527153	Classical	Classical	Squamous	ID	PUB_Yang_GSE62452
GSM1527155	Basal-like	Exocrine	ADEX	IE	PUB_Yang_GSE62452
GSM1527157	Classical	Classical	Immunogenic	IE	PUB_Yang_GSE62452
GSM1527159	Basal-like	QM	Immunogenic	IE	PUB_Yang_GSE62452
GSM1527161	Basal-like	QM	Squamous	IE	PUB_Yang_GSE62452
GSM1527163	Basal-like	Exocrine	Squamous	ID	PUB_Yang_GSE62452
GSM1527165	Classical	Classical	Squamous	ID	PUB_Yang_GSE62452
GSM1527167	Basal-like	QM	Squamous	F	PUB_Yang_GSE62452
GSM1527169	Classical	Classical	Immunogenic	IE	PUB_Yang_GSE62452
GSM1527171	Classical	Exocrine	Immunogenic	IE	PUB_Yang_GSE62452
GSM1527173	Basal-like	QM	Squamous	ID	PUB_Yang_GSE62452
GSM1527175	Classical	Classical	Immunogenic	ID	PUB_Yang_GSE62452
GSM1527177	Classical	Classical	ADEX	F	PUB_Yang_GSE62452
GSM1527179	Classical	Exocrine	ADEX	IEF	PUB_Yang_GSE62452
GSM1527181	Classical	Classical	ADEX	IEF	PUB_Yang_GSE62452
GSM1527183	Basal-like	QM	Squamous	ID	PUB_Yang_GSE62452
GSM1527185	Classical	Exocrine	ADEX	IE	PUB_Yang_GSE62452
GSM1527187	Classical	Classical	Immunogenic	ID	PUB_Yang_GSE62452
GSM1527189	Basal-like	Exocrine	Immunogenic	IEF	PUB_Yang_GSE62452
GSM1527191	Basal-like	QM	Immunogenic	IEF	PUB_Yang_GSE62452
GSM1527193	Basal-like	Exocrine	ADEX	F	PUB_Yang_GSE62452
GSM1527196	Classical	Classical	Squamous	IE	PUB_Yang_GSE62452
GSM1527198	Basal-like	Exocrine	Squamous	ID	PUB_Yang_GSE62452
GSM1527199	Basal-like	QM	Squamous	F	PUB_Yang_GSE62452
GSM1527200	Basal-like	QM	Immunogenic	IE	PUB_Yang_GSE62452
GSM1527202	Basal-like	QM	Squamous	F	PUB_Yang_GSE62452
GSM1527204	Basal-like	QM	Squamous	F	PUB_Yang_GSE62452
GSM1527205	Classical	Exocrine	ADEX	IEF	PUB_Yang_GSE62452
GSM1527207	Basal-like	Exocrine	ADEX	ID	PUB_Yang_GSE62452
GSM1527209	Basal-like	Exocrine	ADEX	F	PUB_Yang_GSE62452
GSM1527210	Classical	Classical	ADEX	IE	PUB_Yang_GSE62452
GSM1527212	Basal-like	QM	Squamous	IEF	PUB_Yang_GSE62452
GSM1527213	Classical	Exocrine	Squamous	IE	PUB_Yang_GSE62452
GSM1527215	Classical	Exocrine	ADEX	IEF	PUB_Yang_GSE62452
GSM1527216	Classical	Exocrine	ADEX	IEF	PUB_Yang_GSE62452
GSM1527218	Basal-like	QM	Squamous	ID	PUB_Yang_GSE62452
GSM1527219	Basal-like	QM	Squamous	IEF	PUB_Yang_GSE62452
GSM1527220	Basal-like	QM	Squamous	F	PUB_Yang_GSE62452
GSM1527223	Classical	Exocrine	ADEX	IEF	PUB_Yang_GSE62452
GSM1527225	Basal-like	Exocrine	ADEX	F	PUB_Yang_GSE62452
GSM1527227	Classical	Exocrine	ADEX	IE	PUB_Yang_GSE62452
GSM1527228	Classical	Exocrine	ADEX	IEF	PUB_Yang_GSE62452
GSM1527230	Basal-like	QM	Squamous	IEF	PUB_Yang_GSE62452
GSM1527232	Classical	Exocrine	ADEX	IEF	PUB_Yang_GSE62452
GSM1527234	Classical	Exocrine	ADEX	IEF	PUB_Yang_GSE62452
Ge0014	Classical	QM	Immunogenic	F	PUB_Bauer_EMTAB1791
Ge0017	Classical	Exocrine	ADEX	IEF	PUB_Bauer_EMTAB1791
Ge0018	Classical	Exocrine	ADEX	IEF	PUB_Bauer_EMTAB1791
Ge0022	Classical	Exocrine	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0032	Basal-like	QM	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0040	Classical	QM	Squamous	ID	PUB_Bauer_EMTAB1791
Ge0041	Classical	Classical	Squamous	F	PUB_Bauer_EMTAB1791
Ge0043	Classical	Exocrine	ADEX	F	PUB_Bauer_EMTAB1791
Ge0046	Classical	Exocrine	ADEX	F	PUB_Bauer_EMTAB1791
Ge0061	Classical	Exocrine	ADEX	IEF	PUB_Bauer_EMTAB1791
Ge0067	Basal-like	Classical	Immunogenic	F	PUB_Bauer_EMTAB1791
